frame_idx,time_sec,track_id,castor_detected,person_detected,min_person_to_castor_px,min_hand_to_castor_px,near_robot,probable_contact,inside_robot_zone,interaction_score_frame,interaction_label_frame
853,28.461766666666666,4,1,1,484.7962185927861,220.20745849609375,0,0,0,0.0,nula
853,28.461766666666666,6,1,1,976.4117147366529,851.8024291992188,0,0,0,0.0,nula
854,28.495133333333335,4,1,1,481.4181517421988,218.079345703125,0,0,0,0.0,nula
854,28.495133333333335,6,1,1,981.5371742829475,857.4133911132812,0,0,0,0.0,nula
855,28.5285,4,1,1,478.30927571811924,216.2733154296875,0,0,0,0.0,nula
855,28.5285,6,1,1,985.5396705217881,870.46142578125,0,0,0,0.0,nula
856,28.561866666666667,4,1,1,475.0296866465347,213.56494140625,0,0,0,0.0,nula
856,28.561866666666667,6,1,1,989.1195872474177,869.762939453125,0,0,0,0.0,nula
857,28.595233333333333,4,1,1,472.25288538875463,213.36895751953125,0,0,0,0.0,nula
857,28.595233333333333,6,1,1,991.7182048929415,875.639892578125,0,0,0,0.0,nula
858,28.628600000000002,4,1,1,469.7363878349025,211.88626098632812,0,0,0,0.0,nula
858,28.628600000000002,6,1,1,994.3410654749844,877.2065124511719,0,0,0,0.0,nula
859,28.661966666666668,4,1,1,467.30542034719406,209.3759765625,0,0,0,0.08914620535714124,baixa
859,28.661966666666668,6,1,1,996.7317383652863,875.68994140625,0,0,0,0.0,nula
860,28.695333333333334,4,1,1,465.06203762867284,206.373779296875,0,0,0,0.5180315290178561,baixa
860,28.695333333333334,6,1,1,998.823871834596,877.0540161132812,0,0,0,0.0,nula
861,28.7287,4,1,1,462.7623718752117,206.5982666015625,0,0,0,0.48596191406249933,baixa
861,28.7287,6,1,1,1000.8046232920856,875.14306640625,0,0,0,0.0,nula
862,28.762066666666666,4,1,1,460.72058618418237,205.0966796875,0,0,0,0.7004743303571415,baixa
862,28.762066666666666,6,1,1,1002.3696262740182,875.4337158203125,0,0,0,0.0,nula
863,28.795433333333335,4,1,1,459.02734752597365,205.50967407226562,0,0,0,0.6414751325334833,baixa
863,28.795433333333335,6,1,1,1003.8386245901097,877.2475280761719,0,0,0,0.0,nula
864,28.8288,4,1,1,457.61593659229936,206.19586181640625,0,0,0,0.5434483119419631,baixa
864,28.8288,6,1,1,1005.3962735885557,875.9970703125,0,0,0,0.0,nula
865,28.862166666666667,4,1,1,456.4074836228033,206.554443359375,0,0,0,0.49222237723214435,baixa
865,28.862166666666667,6,1,1,1006.52790893489,879.2174072265625,0,0,0,0.0,nula
866,28.895533333333333,4,1,1,455.40493778423456,205.8763427734375,0,0,0,0.5890938895089293,baixa
866,28.895533333333333,6,1,1,1007.2593846885209,878.1099853515625,0,0,0,0.0,nula
867,28.928900000000002,4,1,1,454.65536778319876,206.5595703125,0,0,0,0.49148995535714163,baixa
867,28.928900000000002,6,1,1,1007.9124984401552,878.1688232421875,0,0,0,0.0,nula
868,28.962266666666668,4,1,1,454.33809537291324,205.456787109375,0,0,0,0.6490304129464297,baixa
868,28.962266666666668,6,1,1,1008.5179338349005,872.2899169921875,0,0,0,0.0,nula
869,28.995633333333334,4,1,1,454.48716240279646,203.251220703125,0,0,0,0.964111328124999,baixa
869,28.995633333333334,6,1,1,1008.9032586765206,872.1194458007812,0,0,0,0.0,nula
870,29.029,4,1,1,454.9638386150836,204.12176513671875,0,0,0,0.8397478376116074,baixa
870,29.029,6,1,1,1009.1577005602635,871.5472412109375,0,0,0,0.0,nula
871,29.062366666666666,4,1,1,455.3017141178476,203.7208251953125,0,0,0,0.8970249720982136,baixa
871,29.062366666666666,6,1,1,1009.006542373508,869.6577758789062,0,0,0,0.0,nula
872,29.095733333333335,4,1,1,455.80859489914326,202.80880737304688,0,0,0,1.0273132324218737,baixa
872,29.095733333333335,6,1,1,1008.6210776761422,866.6557922363281,0,0,0,0.0,nula
873,29.1291,4,1,1,456.527427136283,203.18121337890625,0,0,0,0.9741123744419643,baixa
873,29.1291,6,1,1,1007.9797329635662,861.9037475585938,0,0,0,0.0,nula
874,29.162466666666667,4,1,1,457.252038728491,202.65884399414062,0,0,0,1.048736572265625,baixa
874,29.162466666666667,6,1,1,1007.1618645610336,859.1465148925781,0,0,0,0.0,nula
875,29.195833333333333,4,1,1,457.8885877249968,204.50921630859375,0,0,0,0.7843976702008926,baixa
875,29.195833333333333,6,1,1,1006.396074080415,855.515625,0,0,0,0.0,nula
876,29.229200000000002,4,1,1,458.3226434876758,205.45562744140625,0,0,0,0.6491960797991059,baixa
876,29.229200000000002,6,1,1,1005.5357081484067,853.4031372070312,0,0,0,0.0,nula
877,29.262566666666668,4,1,1,458.5396720305458,205.59283447265625,0,0,0,0.6295950753348223,baixa
877,29.262566666666668,6,1,1,1004.7498748095654,847.6715698242188,0,0,0,0.0,nula
878,29.295933333333334,4,1,1,458.37006846097256,204.09893798828125,0,0,0,0.8430088588169636,baixa
878,29.295933333333334,6,1,1,1004.1104344752255,846.5477294921875,0,0,0,0.0,nula
879,29.3293,4,1,1,457.7927929037218,201.7159423828125,0,0,0,1.1834368024553588,baixa
879,29.3293,6,1,1,1003.4345986565801,841.8545837402344,0,0,0,0.0,nula
880,29.362666666666666,4,1,1,456.60625690727557,200.1512451171875,0,0,0,1.4069649832589282,baixa
880,29.362666666666666,6,1,1,1002.8217406265658,840.1068725585938,0,0,0,0.0,nula
881,29.396033333333335,4,1,1,454.7272736202856,197.70755004882812,0,0,0,1.756064278738838,baixa
881,29.396033333333335,6,1,1,1002.297569588826,836.4155883789062,0,0,0,0.0,nula
882,29.4294,4,1,1,452.5541020442376,197.65499877929688,0,0,0,1.7635716029575885,baixa
882,29.4294,6,1,1,1001.1179516287814,831.4145202636719,0,0,0,0.0,nula
883,29.462766666666667,4,1,1,450.19895400257894,196.42703247070312,0,0,0,1.9389953613281263,baixa
883,29.462766666666667,6,1,1,1000.0298135372232,823.7678833007812,0,0,0,0.0,nula
884,29.496133333333333,4,1,1,447.6055506431096,194.95730590820312,0,0,0,2.148956298828125,baixa
884,29.496133333333333,6,1,1,998.8714914607849,818.3466796875,0,0,0,0.0,nula
885,29.529500000000002,4,1,1,444.5711370857803,192.43130493164062,0,0,0,2.509813581194198,baixa
885,29.529500000000002,6,1,1,997.4023336443499,813.4087524414062,0,0,0,0.0,nula
886,29.562866666666668,4,1,1,440.9830005688476,190.76947021484375,0,0,0,2.7472185407366077,baixa
886,29.562866666666668,6,1,1,995.8620772222124,806.251953125,0,0,0,0.0,nula
887,29.596233333333334,4,1,1,436.5552307566883,186.990234375,0,0,0,3.287109375000001,baixa
887,29.596233333333334,6,1,1,993.9413095980756,795.7725219726562,0,0,0,0.0,nula
888,29.6296,4,1,1,431.3746699920076,185.5570068359375,0,0,0,3.491856166294642,baixa
888,29.6296,6,1,1,991.5617394369457,791.8431396484375,0,0,0,0.0,nula
889,29.662966666666666,4,1,1,425.66713866102845,180.646484375,0,0,0,4.193359375,baixa
889,29.662966666666666,6,1,1,988.663849136308,779.6621398925781,0,0,0,0.0,nula
890,29.696333333333335,4,1,1,419.4768758048585,173.28152465820312,0,0,0,5.245496477399554,baixa
890,29.696333333333335,6,1,1,984.7791269274226,772.0295104980469,0,0,0,0.0,nula
891,29.7297,4,1,1,413.68614200107754,171.93869018554688,0,0,0,5.437329973493303,baixa
891,29.7297,6,1,1,981.0643155911866,765.7677001953125,0,0,0,0.0,nula
892,29.763066666666667,4,1,1,407.62521310013744,171.75161743164062,0,0,0,5.464054652622768,baixa
892,29.763066666666667,6,1,1,977.0799295561928,757.5934448242188,0,0,0,0.0,nula
893,29.796433333333333,4,1,1,402.1179926640874,174.78677368164062,0,0,0,5.0304609026227665,baixa
893,29.796433333333333,6,1,1,972.4626312329974,753.5167541503906,0,0,0,0.0,nula
894,29.8298,4,1,1,397.0721445651649,175.59326171875,0,0,0,4.915248325892857,baixa
894,29.8298,6,1,1,968.601200453375,739.1275024414062,0,0,0,0.0,nula
895,29.863166666666668,4,1,1,392.79978058577245,179.27996826171875,0,0,0,4.388575962611608,baixa
895,29.863166666666668,6,1,1,964.4607999379119,732.4757690429688,0,0,0,0.0,nula
896,29.896533333333334,4,1,1,388.88025249523554,185.72308349609375,0,0,0,3.4681309291294626,baixa
896,29.896533333333334,6,1,1,960.5148208189723,724.7921142578125,0,0,0,0.0,nula
897,29.9299,4,1,1,385.6716185771789,189.44259643554688,0,0,0,2.936771937779018,baixa
897,29.9299,6,1,1,957.8934949587339,715.1873168945312,0,0,0,0.0,nula
898,29.963266666666666,4,1,1,382.8508007298985,189.45913696289062,0,0,0,2.9344090053013403,baixa
898,29.963266666666666,6,1,1,955.4176106781019,711.934326171875,0,0,0,0.0,nula
