frame_idx,timestamp_sec,target_id,target_visible,visible_ids,num_people,castor_visible,castor_bbox,target_bbox,face_confidence,pose_confidence,gaze_to_castor_prob,gaze_label,gaze_source,body_to_castor_distance_cm,hand_to_castor_distance_px,proxemic_zone,touch_prob,touch_state,interaction_state,confidence_level
47,1.5666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(0.74267578125, 138.5597381591797, 412.5821228027344, 720.0)","(873.162841796875, 1.832701325416565, 1278.628173828125, 720.0)",0.0,0.9573338826497396,0.0,indeterminado,none,145.24188613846238,483.43730122223496,zona_3,0.0,sem_contato,proximidade,media
48,1.6,1,True,"[1, 2, 3, 6]",4,True,"(5.150797367095947, 139.6171875, 374.359375, 720.0)","(871.1423950195312, 1.443596363067627, 1277.25439453125, 720.0)",0.0,0.9595228830973307,0.0,indeterminado,none,147.70336259454925,518.9228732436895,zona_3,0.0,sem_contato,proximidade,media
49,1.6333333333333333,1,True,"[1, 2, 3]",3,True,"(5.24365234375, 139.0648651123047, 365.1920471191406, 720.0)","(870.4458618164062, 0.4705132842063904, 1276.56396484375, 720.0)",0.0,0.9622274306085374,0.0,indeterminado,none,148.14465508338452,525.5388507395983,zona_3,0.0,sem_contato,proximidade,media
50,1.6666666666666667,1,True,"[1, 2, 3]",3,True,"(5.2791748046875, 138.34178161621094, 358.3646240234375, 720.0)","(870.4078369140625, 0.10352636873722076, 1276.7513427734375, 720.0)",0.0,0.9648266103532579,0.0,indeterminado,none,148.6476552826878,530.9665604531765,zona_3,0.0,sem_contato,proximidade,media
51,1.7,1,True,"[1, 2, 3, 6]",4,True,"(5.283447265625, 138.16566467285156, 348.4039611816406, 720.0)","(870.1364135742188, 0.9004347324371338, 1276.949462890625, 720.0)",0.0,0.9672366049554613,0.0,indeterminado,none,149.6370089460663,540.8534541875124,zona_3,0.0,sem_contato,proximidade,media
52,1.7333333333333334,1,True,"[1, 2, 3, 6]",4,True,"(5.279052734375, 138.1608123779297, 348.619140625, 720.0)","(869.9622192382812, 1.1850998401641846, 1277.1717529296875, 720.0)",0.0,0.9690068364143372,0.0,indeterminado,none,149.68268841476572,539.7287736535072,zona_3,0.0,sem_contato,proximidade,media
53,1.7666666666666666,1,True,"[1, 2, 3, 6]",4,True,"(5.424346923828125, 138.7696075439453, 341.4818115234375, 720.0)","(870.0588989257812, 1.5902302265167236, 1277.402587890625, 720.0)",0.0,0.9704781240887113,0.0,indeterminado,none,150.37841110681399,547.938286293298,zona_3,0.0,sem_contato,proximidade,media
54,1.8,1,True,"[1, 2, 3, 6]",4,True,"(5.440348148345947, 138.3887481689453, 342.7212219238281, 720.0)","(871.773193359375, 1.7014241218566895, 1278.7069091796875, 720.0)",0.0,0.9721234440803528,0.0,indeterminado,none,150.548971666566,547.9397004321218,zona_3,0.0,sem_contato,proximidade,media
55,1.8333333333333333,1,True,"[1, 2, 3]",3,True,"(4.959716796875, 138.4132537841797, 345.01171875, 720.0)","(872.0270385742188, 1.1800384521484375, 1279.0657958984375, 719.53662109375)",0.0,0.972120377752516,0.0,indeterminado,none,150.43684550631752,546.6760553866625,zona_3,0.0,sem_contato,proximidade,media
56,1.8666666666666667,1,True,"[1, 2, 3]",3,True,"(5.151163578033447, 137.8821563720703, 345.8489685058594, 720.0)","(872.8378295898438, 0.38693147897720337, 1279.997314453125, 719.3618774414062)",0.0,0.9659636682934232,0.0,indeterminado,none,150.36703078974517,545.9567351341248,zona_3,0.0,sem_contato,proximidade,media
57,1.9,1,True,"[1, 2, 3]",3,True,"(5.262990474700928, 137.93116760253906, 343.7319030761719, 720.0)","(873.7861938476562, 0.08919642120599747, 1280.0, 719.290283203125)",0.0,0.9622870220078362,0.0,indeterminado,none,150.5663902609659,549.1040319390595,zona_3,0.0,sem_contato,proximidade,media
58,1.9333333333333333,1,True,"[1, 2, 3]",3,True,"(4.9910888671875, 137.75108337402344, 346.7130432128906, 720.0)","(873.44091796875, 0.0, 1280.0, 720.0)",0.0,0.9575092726283603,0.0,indeterminado,none,150.1447321573893,546.4557356201112,zona_3,0.0,sem_contato,proximidade,media
59,1.9666666666666666,1,True,"[1, 2, 3]",3,True,"(4.981607913970947, 137.73521423339844, 346.7295227050781, 720.0)","(873.3820190429688, 0.0, 1280.0, 720.0)",0.0,0.9535542925198873,0.0,indeterminado,none,150.1392407019933,546.4764953479171,zona_3,0.0,sem_contato,proximidade,media
60,2.0,1,True,"[1, 2, 3]",3,True,"(4.859334468841553, 138.5011444091797, 348.1124572753906, 720.0)","(872.9598999023438, 0.0, 1279.9486083984375, 720.0)",0.0,0.9474427368905809,0.0,indeterminado,none,149.9947263797124,544.8918592147529,zona_3,0.0,sem_contato,proximidade,media
61,2.033333333333333,1,True,"[1, 2, 3]",3,True,"(5.287282466888428, 138.8900604248047, 342.7906188964844, 720.0)","(872.7221069335938, 0.0, 1279.378662109375, 720.0)",0.0,0.9413138296869066,0.0,indeterminado,none,150.33523897329965,551.2346489951015,zona_3,0.0,sem_contato,proximidade,media
62,2.066666666666667,1,True,"[1, 2, 3]",3,True,"(5.286295413970947, 138.8916015625, 342.8633117675781, 720.0)","(872.7085571289062, 0.0, 1279.1231689453125, 719.924560546875)",0.0,0.9343090256055196,0.0,indeterminado,none,150.3225941201192,552.2266269549727,zona_3,0.0,sem_contato,proximidade,media
63,2.1,1,True,"[1, 2, 3]",3,True,"(5.233418941497803, 139.64306640625, 337.2035827636719, 720.0)","(872.1726684570312, 0.0, 1278.3795166015625, 719.77197265625)",0.0,0.929221146636539,0.0,indeterminado,none,150.7240050647124,558.8825919479132,zona_3,0.0,sem_contato,proximidade,media
64,2.1333333333333333,1,True,"[1, 2, 3]",3,True,"(5.199361324310303, 139.664306640625, 335.7342834472656, 720.0)","(872.9286499023438, 0.29736337065696716, 1278.302734375, 718.200439453125)",0.0,0.9248543116781447,0.0,indeterminado,none,151.29908570568824,561.004920437932,zona_3,0.0,sem_contato,proximidade,media
65,2.1666666666666665,1,True,"[1, 2, 3]",3,True,"(5.081217288970947, 139.89373779296875, 337.718505859375, 720.0)","(872.3280639648438, 0.7456423044204712, 1278.079833984375, 718.8092651367188)",0.0,0.9190277920828925,0.0,indeterminado,none,151.04035515080838,560.5850556343794,zona_3,0.0,sem_contato,proximidade,media
66,2.2,1,True,"[1, 2, 3]",3,True,"(5.348958492279053, 138.67498779296875, 336.4511413574219, 720.0)","(871.5706176757812, 0.6748968958854675, 1277.1683349609375, 718.1674194335938)",0.0,0.9140063590473599,0.0,indeterminado,none,151.10478617096976,561.3755373954773,zona_3,0.0,sem_contato,proximidade,media
67,2.2333333333333334,1,True,"[1, 2, 3]",3,True,"(5.4835205078125, 138.36181640625, 337.5796203613281, 720.0)","(870.1951904296875, 0.8882368206977844, 1276.5738525390625, 719.5072021484375)",0.0,0.9080991844336191,0.0,indeterminado,none,150.5977096406522,559.6386786699295,zona_3,0.0,sem_contato,proximidade,media
68,2.2666666666666666,1,True,"[1, 2, 3]",3,True,"(5.458109378814697, 138.3052520751953, 338.01446533203125, 720.0)","(869.66552734375, 0.9569388031959534, 1276.38720703125, 719.9417724609375)",0.0,0.9020009206400977,0.0,indeterminado,none,150.427108810254,558.5199904441833,zona_3,0.0,sem_contato,proximidade,media
69,2.3,1,True,"[1, 2, 3]",3,True,"(5.52716064453125, 138.23280334472656, 326.8668518066406, 720.0)","(868.70068359375, 1.260030746459961, 1274.8951416015625, 719.1084594726562)",0.0,0.8956585725148519,0.0,indeterminado,none,151.38594315707937,569.3216499835253,zona_3,0.0,sem_contato,proximidade,media
