track_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,mean_person_distance_px,mean_hand_distance_px,near_ratio,contact_ratio,mean_score,label
208,22978,23038,766.6992666666666,768.7012666666667,2.0020000000000664,44.491331537643454,0.0,1.0,1.0,95.48078446707603,alta
214,22847,22905,762.3282333333334,764.2635,1.9686333333333335,203.1465975831793,0.0,1.0,1.0,79.849625359907,alta
214,22908,22929,764.3636,765.0643,0.7340666666666666,183.3876551595417,0.0,1.0,1.0,81.29359597697318,alta
214,22955,22976,765.9318333333333,766.6325333333333,0.7340666666666666,217.09250894504729,0.0,1.0,1.0,78.02658146044915,alta
214,22978,23051,766.6992666666666,769.1350333333334,2.469133333333333,194.56683173246705,0.0,1.0,1.0,80.61894386681365,alta
214,23076,23103,769.9692,770.8701,0.9342666666666667,180.19631925858224,0.0,1.0,1.0,82.12887319312178,alta
214,23151,23212,772.4717,774.5070666666667,2.0353666666666186,152.43193074739528,0.0,1.0,1.0,85.59458809509172,alta
214,23218,23249,774.7072666666667,775.7416333333333,1.0343666666666422,164.5601661260669,0.0,1.0,1.0,83.36222303598402,alta
214,23260,23507,776.1086666666666,784.3502333333333,8.274933333333333,180.53613350041982,0.0,1.0,0.9637096774193549,80.9423025059507,alta
215,22996,23051,767.2998666666667,769.1350333333334,1.8351666666666233,121.83038080594368,18.42165289984809,1.0,0.7777777777777778,76.80800676243251,alta
215,23076,23107,769.9692,771.0035666666666,1.0343666666666422,113.17504555434884,0.013697130926724138,1.0,1.0,88.72396044552673,alta
217,23151,23212,772.4717,774.5070666666667,2.0687333333333333,54.98031242039022,0.0,1.0,1.0,95.39757342330849,alta
217,23218,23249,774.7072666666667,775.7416333333333,1.0677333333333334,32.7880511017373,0.0,1.0,1.0,96.75873818559964,alta
217,23260,23505,776.1086666666666,784.2835,8.174833333333368,35.520498350098876,0.0,1.0,1.0,96.81233098466151,alta
218,23144,23177,772.2381333333334,773.3392333333334,1.101099999999974,264.94146100917635,0.0,1.0,1.0,82.64058408688445,alta
219,23151,23212,772.4717,774.5070666666667,2.0353666666666186,176.7373853347582,0.0,1.0,1.0,83.17769599214074,alta
219,23218,23236,774.7072666666667,775.3078666666667,0.6006,187.58286883228453,0.0,1.0,1.0,80.9426712121987,alta
